,County,Median Sale Price,Average Sale Price
251,Hartford,197721.5,239366.58
252,Hartford,193158.7,231201.07
253,Hartford,205326.17,242797.64
254,Hartford,201828.02,238740.25
255,Hartford,208368.04,247051.1
256,Hartford,212930.85,253548.35
257,Hartford,220535.52,262732.5
258,Hartford,212930.85,244306.64
259,Hartford,212930.85,245466.78
260,Hartford,212930.85,250371.9
261,Hartford,209888.98,240742.1
262,Hartford,209436.83,250843.08
263,Hartford,194616.07,235951.63
264,Hartford,209436.83,254103.17
265,Hartford,202101.3,237616.63
266,Hartford,213179.45,250443.51
267,Hartford,224557.01,277908.31
268,Hartford,231293.72,278313.01
269,Hartford,245515.66,290190.24
270,Hartford,232042.24,277842.34
271,Hartford,229048.15,265705.63
272,Hartford,232042.24,273084.08
273,Hartford,224557.01,258350.06
274,Hartford,219512.61,265782.71
275,Hartford,217317.48,247725.78
276,Hartford,213658.94,254662.63
277,Hartford,226829.7,263330.62
278,Hartford,234146.78,273541.93
279,Hartford,241463.87,297230.58
280,Hartford,256098.04,319034.87
281,Hartford,255659.02,311014.71
282,Hartford,245488.27,291686.0
283,Hartford,242927.29,287892.57
284,Hartford,248634.61,294415.9
285,Hartford,248780.96,283178.68
286,Hartford,233764.61,279933.49
287,Hartford,235190.01,281878.56
288,Hartford,242316.98,277993.88
289,Hartford,246593.16,290237.12
290,Hartford,256570.92,296340.35
291,Hartford,263697.89,309165.51
292,Hartford,277951.82,335365.07
293,Hartford,277951.82,333896.3
294,Hartford,263697.89,308025.47
295,Hartford,263697.89,301754.72
296,Hartford,270040.89,308410.72
297,Hartford,270824.86,311920.08
298,Hartford,259248.21,299027.08
299,Hartford,255111.27,301333.84
300,Hartford,257524.49,291192.18
301,Hartford,264764.13,307170.32
302,Hartford,268901.07,307492.13
303,Hartford,289585.77,334241.87
304,Hartford,297859.65,345277.94
305,Hartford,310270.47,346056.72
306,Hartford,289585.77,325464.0
307,Hartford,295101.69,333957.69
308,Hartford,292343.73,325687.37
309,Hartford,296480.67,334406.3
310,Hartford,275202.58,312671.57
311,Hartford,280546.32,310166.78
312,Hartford,283218.19,324495.31
313,Hartford,287225.99,317109.85
314,Hartford,293905.67,322785.51
315,Hartford,301186.51,342341.99
316,Hartford,307265.01,357426.39
317,Hartford,300585.34,345129.64
318,Hartford,300585.34,338178.43
319,Hartford,291233.8,322961.7
320,Hartford,293905.67,322919.83
321,Hartford,283886.15,321865.78
322,Hartford,279211.1,319557.81
323,Hartford,283756.39,324035.42
324,Hartford,292197.66,344669.82
325,Hartford,285704.38,313861.83
326,Hartford,284723.89,317731.67
327,Hartford,301288.25,355151.83
328,Hartford,308430.86,365610.72
329,Hartford,308755.53,356368.33
330,Hartford,292197.66,320606.36
331,Hartford,285704.38,325757.23
332,Hartford,283107.06,330888.29
333,Hartford,272717.81,325772.75
334,Hartford,252688.61,301397.88
335,Hartford,250186.74,295347.51
336,Hartford,271452.62,307687.2
337,Hartford,266448.88,307092.98
338,Hartford,256441.41,301497.01
339,Hartford,281460.09,332708.1
340,Hartford,282711.02,335616.39
341,Hartford,283961.95,343458.54
342,Hartford,265510.68,309458.51
343,Hartford,250186.74,296377.57
344,Hartford,255190.48,308322.17
345,Hartford,236989.39,276007.77
346,Hartford,232166.5,269541.24
347,Hartford,228401.64,274021.55
348,Hartford,232793.98,259247.63
349,Hartford,225891.73,274114.98
350,Hartford,244716.04,281876.45
351,Hartford,270442.6,317724.53
352,Hartford,259775.49,300003.07
353,Hartford,260402.97,303881.4
354,Hartford,244716.04,283016.27
355,Hartford,240951.18,278865.38
356,Hartford,244716.04,282464.48
357,Hartford,243774.83,286367.09
358,Hartford,229662.86,269537.44
359,Hartford,224415.19,271147.5
360,Hartford,234601.85,266836.43
361,Hartford,230897.61,267947.46
362,Hartford,245714.57,275116.44
363,Hartford,265470.51,301983.37
364,Hartford,253123.05,295114.69
365,Hartford,256827.29,303988.95
366,Hartford,234601.85,279878.36
367,Hartford,247196.26,307975.2
368,Hartford,255592.54,296163.03
369,Hartford,242148.62,283435.21
370,Hartford,215488.79,258114.41
371,Hartford,209951.92,254987.69
372,Hartford,210700.15,244704.42
373,Hartford,221414.73,281013.17
374,Hartford,228657.54,291124.4
375,Hartford,245417.78,305241.3
376,Hartford,249607.84,291904.98
377,Hartford,246614.94,295035.18
378,Hartford,225066.06,268272.82
379,Hartford,224766.77,263720.4
380,Hartford,226263.22,269237.73
381,Hartford,215488.79,261435.45
382,Hartford,199383.58,240524.64
383,Hartford,189121.19,226592.35
384,Hartford,205247.81,247297.33
385,Hartford,212284.87,249185.42
386,Hartford,217562.67,269626.7
387,Hartford,236914.61,290516.98
388,Hartford,240374.5,281918.93
389,Hartford,239084.37,279108.6
390,Hartford,212284.87,264668.92
391,Hartford,222723.19,264416.43
392,Hartford,208179.92,251195.75
393,Hartford,222840.48,269426.65
394,Hartford,208061.9,235942.74
